"protein_id" "logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"4478" "Q15102" 0.0982853843770082 0.167923692132825 5.57318168373523 5.36845572438303e-08 0.000406631971755539 7.99000481246609
"5761" "P51790" 0.0486534882623629 0.150345463383362 5.45848997581062 9.73107853791068e-08 0.000406631971755539 7.4233848659542
"3247" "Q6PJW8" 0.0798944436133202 0.295949408987373 5.38963569877891 1.38435759789675e-07 0.000406631971755539 7.0878830360708
"1011" "Q9Y653" 0.155878391201348 0.43130201856067 5.23887707652671 2.95920948634074e-07 0.000651913849840866 6.3656512623028
"2796" "P49619" 0.0968478762951077 -0.200046956043606 5.14523999419527 4.70353268562046e-07 0.000828950600513749 5.92570279390175
"8666" "P60174" 0.0565657829282412 0.492259685921571 4.99365009512726 9.82186721342973e-07 0.00102765596399757 5.22767599405469
"1716" "C9JG97" 0.0657419616025233 0.282909612385938 4.98792352045293 1.00954731980634e-06 0.00102765596399757 5.20165397351361
"2584" "P42263" -0.0513739523426901 -0.0903984756039232 -4.98640340147031 1.01693310515039e-06 0.00102765596399757 5.19475069604994
"5306" "E9PLK3" 0.0488143083903467 -0.0657790861605342 4.96997132958616 1.10018149946644e-06 0.00102765596399757 5.12024249105181
"1587" "Q9NV96" 0.0825418557837914 0.163938474260834 4.95777356344552 1.16620059464091e-06 0.00102765596399757 5.06506945769849
"8578" "Q6U841" -0.129161834506541 -0.635018301612933 -4.88300875300255 1.66275936941242e-06 0.00133202141484202 4.72942346727066
"7999" "P62937-2" 0.0506526205814066 0.557996837885672 4.77416933159133 2.76557623383718e-06 0.0020308548143811 4.24863049190037
"1951" "A0A087WWT2" -0.115084401041771 -0.0674166788035596 -4.75595442081196 3.00869608718954e-06 0.0020394330707934 4.1690789884405
"8469" "F8WE65" 0.072928059511162 -0.272680896317474 4.70407462830646 3.81938139941957e-06 0.0023307193226226 3.94394090001376
"2893" "P49411" -0.0501233931448847 -0.034208586393793 -4.68293387483159 4.20684470834929e-06 0.0023307193226226 3.85281160331386
"571" "Q02952" 0.0625421815728841 0.0113980981607839 4.65147963321272 4.85415270894502e-06 0.0023307193226226 3.71788434981285
"4215" "P42704" -0.0847328965773219 -0.170592801534383 -4.65078825168808 4.86940542201368e-06 0.0023307193226226 3.71492744654589
"2650" "Q8NAA5" -0.0611715121640282 -0.072490084409146 -4.63710693285338 5.1808908137583e-06 0.0023307193226226 3.65649372987144
"1349" "O43865" -0.0708271513801392 0.0241870734596994 -4.63455745310009 5.24101639240645e-06 0.0023307193226226 3.64562130127801
"2029" "P11182" -0.0530384878301128 -0.0534290830443378 -4.63250632231316 5.2898759024571e-06 0.0023307193226226 3.63687789149188
"3974" "C9J240" -0.188280241334972 -0.0487826710708547 -4.60828884057209 6.19586287558175e-06 0.00257896448654095 3.53148868886844
"4152" "P28482" 0.0699097255960751 0.0275947141132516 4.58889545116307 6.43863126462789e-06 0.00257896448654095 3.45177464245301
"7194" "Q9BQI5" -0.0471787804237354 0.00914405420788737 -4.57738021431944 6.77987782355544e-06 0.00259757753831176 3.40315383506496
"3564" "Q6UX71" 0.10504378614799 0.317624114355726 4.52590022837863 8.57596509179138e-06 0.0029572394982576 3.1859657137656
"8069" "O14829" -0.124369149501298 -0.0751237698902672 -4.51038296221806 9.13734687369895e-06 0.0029572394982576 3.12239009795574
"5959" "Q13972" -0.0753431800910791 -0.211200046865875 -4.50913756898792 9.18786752559301e-06 0.0029572394982576 3.11720537376413
"7562" "O43148" -0.062268084412793 -0.235611232098476 -4.50672951345377 9.2863143006126e-06 0.0029572394982576 3.10718390368289
"61" "Q05639" 0.0459251022388504 -0.327334195457974 4.50406116844791 9.39658487871229e-06 0.0029572394982576 3.09608468268482
"3870" "P46060" 0.0532555874382135 0.0753660030964085 4.44205011077131 1.23431733378759e-05 0.00363689290464254 2.83977021825401
"1734" "Q9UBP0" 0.0355589265232953 0.0813075725265279 4.4413391726616 1.23816145187558e-05 0.00363689290464254 2.836849762433
"3791" "P07093-3" -0.130003544535055 -0.122202935275831 -4.42887730950213 1.30743740428084e-05 0.00371649626016862 2.78572461534754
"121" "Q9Y4G6" -0.0415770054423509 -0.146987466402588 -4.37075984387591 1.68260652427978e-05 0.00463347771623543 2.54896910594178
"6818" "Q15154" -0.0496122201090924 0.0401943440211795 -4.34966549475161 1.8427313317594e-05 0.0049101927234368 2.4637194624576
"7007" "O60524" -0.0467648101412711 0.0773924346920493 -4.33762521830996 1.94056186168781e-05 0.0049101927234368 2.41522404783926
"5563" "Q9UKF7" -0.0578249126383088 0.104592010261452 -4.33646369250004 1.95025811757022e-05 0.0049101927234368 2.41055198623801
"4650" "Q2LD37" 0.0359394842092282 0.0854749718831525 4.27826498997384 2.50008120566647e-05 0.0059960512390854 2.17787695355104
"1653" "Q13522" 0.0729051055243164 -0.295173425635183 4.26869123933813 2.60366670072198e-05 0.0059960512390854 2.13986893585901
"4295" "Q9Y2J0" -0.0780269320504938 -0.30922714022786 -4.26527675708865 2.64159304700646e-05 0.0059960512390854 2.12633166443397
"356" "Q96CQ1" -0.0637627539631394 0.17213693998123 -4.25870306431742 2.71610183217626e-05 0.0059960512390854 2.10029630267327
"185" "Q6P1L5" 0.0676726874706719 -0.0489206978366533 4.25358631446837 2.77548236788194e-05 0.0059960512390854 2.08005593139411
"2762" "Q9BZI7" 0.0607993038848871 -0.150167969470306 4.25236734455996 2.78981049480823e-05 0.0059960512390854 2.07523723341983
"5372" "Q9Y2Q0" 0.0840494653069288 -0.0907822657586169 4.2378081829835 2.96649777758641e-05 0.00622399486097414 2.01777854480395
"3736" "P00568" 0.0565137707904662 -0.132676581389881 4.23020232507576 3.06300086142876e-05 0.00627701478858378 1.987831281708
"6698" "O15382" -0.0911241539128988 0.117273580466372 -4.21873345486576 3.23593263851926e-05 0.00646667087705602 1.94612048644975
"4491" "P30086" 0.0410204935719566 -0.439780386212137 4.21228545924245 3.302317175074e-05 0.00646667087705602 1.91747493023087
"4675" "O60359" -0.0636148611774015 0.161868651118811 -4.20170509591229 3.45191304286021e-05 0.00647290553976357 1.8760527350546
"2289" "P10645" 0.136150354217494 -0.11527663391893 4.19482843918513 3.55258610729282e-05 0.00647290553976357 1.84918039778416
"4029" "Q9UQ03" -0.0421460462112744 -0.110624545942286 -4.19420442956565 3.5618588593336e-05 0.00647290553976357 1.84674386018077
"1091" "Q9NR50" 0.0303861760824615 -0.061506603184508 4.19169894028251 3.59932332556077e-05 0.00647290553976357 1.83696406427028
"3635" "O60241-2" -0.0472983266432066 0.166481224581268 -4.1730273244085 3.89059809469594e-05 0.00685679008209213 1.76424657618342
"2309" "Q8NBM8" -0.0603651770870771 0.142956165538586 -4.16154706930126 4.08070569877142e-05 0.00705081933677917 1.71968015742057
"2297" "Q9NQ66" -0.0588809747263375 -0.0876201622468929 -4.12729415621719 4.70196920812302e-05 0.00796802935807308 1.58736281790397
"8481" "P20340" 0.0429830146396438 0.21323523261428 4.11794405918791 4.88661978598105e-05 0.00812469689699341 1.5514139582159
"7684" "P55010" 0.0436482732334324 -0.0217938387493747 4.10463566907882 5.16138919380314e-05 0.00842262251403579 1.50037243046533
